CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP,SNAP_percent,Kid_percent,Senior_percent,Households_noVehicle_percent
48001950500,Texas,Anderson,4377,1508.45,0,1293,627,66,288,6.58,29.54,14.32,1.51
48001950600,Texas,Anderson,6405,1773.15,1,1950,791,194,412,6.43,30.44,12.35,3.03
48005000400,Texas,Angelina,5479,930.88,1,1476,822,176,717,13.09,26.94,15.0,3.21
48005000500,Texas,Angelina,4006,1356.27,1,1106,599,318,570,14.23,27.61,14.95,7.94
48005000600,Texas,Angelina,6416,1384.21,0,1983,670,65,520,8.1,30.91,10.44,1.01
48005000800,Texas,Angelina,6299,786.38,0,1718,976,30,391,6.21,27.27,15.49,0.48
48007950400,Texas,Aransas,3583,2004.88,1,848,657,231,329,9.18,23.67,18.34,6.45
48013960300,Texas,Atascosa,3595,1381.9,1,1098,432,104,379,10.54,30.54,12.02,2.89
48019000200,Texas,Bandera,2726,275.96,1,541,738,26,90,3.3,19.85,27.07,0.95
48021950200,Texas,Bastrop,7955,2058.76,1,2375,891,148,444,5.58,29.86,11.2,1.86
48021950700,Texas,Bastrop,4189,777.55,1,1058,784,146,260,6.21,25.26,18.72,3.49
48025950300,Texas,Bee,5093,357.33,1,1443,638,188,247,4.85,28.33,12.53,3.69
48025950500,Texas,Bee,7343,1427.11,1,2386,673,195,507,6.9,32.49,9.17,2.66
48027020500,Texas,Bell,3810,585.25,0,1069,499,27,196,5.14,28.06,13.1,0.71
48027020800,Texas,Bell,3528,249.71,1,1194,399,180,400,11.34,33.84,11.31,5.1
48027020900,Texas,Bell,2998,1305.61,1,760,559,100,164,5.47,25.35,18.65,3.34
48027021000,Texas,Bell,4610,1143.19,1,1189,426,145,262,5.68,25.79,9.24,3.15
48027021500,Texas,Bell,6538,2894.17,1,1864,596,137,392,6.0,28.51,9.12,2.1
48027021601,Texas,Bell,5080,2477.99,1,1457,613,154,322,6.34,28.68,12.07,3.03
