Source,Target,Distance_miles
48001950500,48001950600,3.053450712554077
48001950500,48073950700,23.93866378204984
48001950500,48073950500,24.816384037854384
48001950500,48073950600,26.658148120435637
48001950500,48213951300,30.579950711437906
48001950600,48001950500,3.053450712554077
48001950600,48073950700,26.585652053544294
48001950600,48073950500,27.63397901478158
48001950600,48073950600,29.287017427370692
48001950600,48213951300,32.45969460357271
48005000400,48005000500,2.285313927484545
48005000400,48005000600,3.4365807655209024
48005000400,48005000800,3.670980980031207
48005000400,48347950900,18.40443191234332
48005000400,48347951000,20.30795623422869
48005000500,48005000400,2.285313927484545
48005000500,48005000600,2.7031114888624885
48005000500,48005000800,4.534486482870807
48005000500,48347950900,16.13710199065559
48005000500,48347951000,18.035414211478464
48005000600,48005000500,2.7031114888624885
48005000600,48005000800,2.707528632740215
48005000600,48005000400,3.4365807655209024
48005000600,48347950900,16.863928326562394
48005000600,48347951000,18.684993543647447
48005000800,48005000600,2.707528632740215
48005000800,48005000400,3.670980980031207
48005000800,48005000500,4.534486482870807
48005000800,48347950900,19.566329073739436
48005000800,48347951000,21.379963009396914
48007950400,48409010202,9.219663996229036
48007950400,48409010201,9.981581613914676
48007950400,48409010500,14.528635146949616
48007950400,48355006400,25.0701537290378
48007950400,48409011000,25.70126067660049
48013960300,48029151900,18.944898928429946
48013960300,48029161100,20.02836939575601
48013960300,48029151302,20.489893797444736
48013960300,48029161302,20.537656364012594
48013960300,48029161802,21.035560178192764
48019000200,48463950100,23.693371053245365
48019000200,48265960600,24.826048929678823
48019000200,48385950100,25.654797184501795
48019000200,48463950200,40.99249154429753
48019000200,48463950400,43.69337752673961
48021950200,48491021000,14.24707978357833
48021950200,48453002207,14.821705913281388
48021950200,48491021100,15.210253477043429
48021950200,48453002202,15.519472817395883
48021950200,48453002211,15.651267398296753
48021950700,48287000400,18.75026088492665
48021950700,48021950200,25.383242484180787
48021950700,48453002207,27.926941194488762
48021950700,48055960200,29.471924967108247
48021950700,48453002319,30.0036689381061
48025950300,48025950500,2.1585292329752734
48025950300,48409011000,31.58167869229155
48025950300,48255970200,31.9109341914946
48025950300,48409011100,34.43472979755341
48025950300,48355005601,42.52246809162317
48025950500,48025950300,2.1585292329752734
48025950500,48409011000,29.453558478892802
48025950500,48409011100,32.281151364806774
48025950500,48255970200,34.06833010159255
48025950500,48355005601,40.4281720180981
48027020500,48027021000,3.173766354348
48027020500,48027020900,4.596761131949359
48027020500,48027020800,4.8899959996933395
48027020500,48027021601,10.213493001114927
48027020500,48027021500,10.236234723981916
48027020800,48027020900,1.7607321609769122
48027020800,48027021000,3.626403514693627
48027020800,48027020500,4.8899959996933395
48027020800,48027021500,9.160020839640795
48027020800,48027021601,10.99666128238607
48027020900,48027020800,1.7607321609769122
48027020900,48027021000,2.2682805286099486
48027020900,48027020500,4.596761131949359
48027020900,48027021500,7.5055639194036585
48027020900,48027021601,9.237421207155478
48027021000,48027020900,2.2682805286099486
48027021000,48027020500,3.173766354348
48027021000,48027020800,3.626403514693627
48027021000,48027021500,7.229630461521388
48027021000,48027021601,7.954851430817671
48027021500,48027021601,3.9692379153669513
48027021500,48027021602,4.965343842049039
48027021500,48027021000,7.229630461521388
48027021500,48027020900,7.5055639194036585
48027021500,48027020800,9.160020839640795
48027021601,48027021602,0.9995210013929283
48027021601,48027021500,3.9692379153669513
48027021601,48027021000,7.954851430817671
48027021601,48027020900,9.237421207155478
48027021601,48027020500,10.213493001114927
48027021602,48027021601,0.9995210013929283
48027021602,48027021500,4.965343842049039
48027021602,48027021000,8.346244281289568
48027021602,48027020900,9.808089689671297
48027021602,48027020500,10.358380801155736
48027022101,48027022104,1.3531812410986002
48027022101,48027022105,1.52861880108383
48027022101,48027023204,1.9990434749129056
48027022101,48027022300,2.155051419296527
48027022101,48027022401,2.29408869677947
48027022104,48027022105,0.4710610198276597
48027022104,48027022101,1.3531812410986002
48027022104,48027023204,1.3549025868743267
48027022104,48027022300,1.9064408208841135
48027022104,48027022401,2.572450365679281
48027022105,48027022104,0.4710610198276597
48027022105,48027023204,0.8903361796621385
48027022105,48027022101,1.52861880108383
48027022105,48027022300,2.376715784379407
48027022105,48027022401,3.0310201431889485
48027022300,48027022401,0.963032328979363
48027022300,48027022405,1.5064381446379187
48027022300,48027022104,1.9064408208841135
48027022300,48027022101,2.155051419296527
48027022300,48027022105,2.376715784379407
48027022401,48027022405,0.7277731130622492
48027022401,48027022300,0.963032328979363
48027022401,48027022101,2.29408869677947
48027022401,48027022104,2.572450365679281
48027022401,48027023103,2.6782671520232273
48027022405,48027022401,0.7277731130622492
48027022405,48027022300,1.5064381446379187
48027022405,48027023103,2.5299834450655374
48027022405,48027023107,2.6166892597950135
48027022405,48027023104,2.978655733580153
48027023103,48027023104,0.6541477323396646
48027023103,48027023107,0.926022187270476
48027023103,48027023202,2.4709495912335737
48027023103,48027022405,2.5299834450655374
48027023103,48027022401,2.6782671520232273
48027023104,48027023103,0.6541477323396646
48027023104,48027023107,1.5167107924673298
48027023104,48027023202,1.8724847297195102
48027023104,48027022405,2.978655733580153
48027023104,48027022401,2.9893261645843197
48027023107,48027023103,0.926022187270476
48027023107,48027023104,1.5167107924673298
48027023107,48027022405,2.6166892597950135
48027023107,48027022401,2.991874722695331
48027023107,48027023202,3.1107748701069093
48027023202,48027023104,1.8724847297195102
48027023202,48099010502,2.248335924962925
48027023202,48027023103,2.4709495912335737
48027023202,48027023107,3.1107748701069093
48027023202,48099010501,3.1894841423258606
48027023204,48027022105,0.8903361796621385
48027023204,48027022104,1.3549025868743267
