Food Truck,Source,Target,Distance_miles
1,48215020501,48215020503,2.909924738838187
1,48215020501,48215020504,1.5157169968988828
1,48215020501,48215020726,1.8706933791480718
1,48215020501,48215021000,2.811403015057001
1,48215020501,48215021302,7.294336453132324
1,48215020501,48215021303,8.8962873880881
1,48215020501,48215021305,5.305694602024374
1,48215020501,48215021404,4.902422533569037
1,48215020501,48215021701,4.894408770595094
1,48215020501,48215021702,5.92263582428479
1,48215020501,48215021805,7.213842061441426
1,48215020501,48215021806,7.652396559506936
1,48215020501,48215022001,7.286400246166814
1,48215020501,48215022003,8.81187687923303
1,48215020501,48215023504,9.1626166713091
1,48215020501,48215023600,11.035781563787
1,48215020501,48215023801,8.124597960250583
1,48215020501,48215023904,7.886252182878164
1,48215020501,48215024000,9.912424616535667
1,48215020503,48215020501,2.909924738838187
1,48215020503,48215020504,1.5035295965917481
1,48215020503,48215020726,4.77538819049924
1,48215020503,48215021000,4.5839009178113415
1,48215020503,48215021302,6.100781485961727
1,48215020503,48215021303,6.933729678137945
1,48215020503,48215021305,2.4008748150441925
1,48215020503,48215021404,4.53726420005584
1,48215020503,48215021701,6.72408573238456
1,48215020503,48215021702,7.4809369053752475
1,48215020503,48215021805,8.330617007945838
1,48215020503,48215021806,9.121737887419883
1,48215020503,48215022001,7.097749291403915
1,48215020503,48215022003,8.799828909521072
1,48215020503,48215023504,12.022713840809445
1,48215020503,48215023600,13.41255059822015
1,48215020503,48215023801,10.052070223713422
1,48215020503,48215023904,10.575237142142427
1,48215020503,48215024000,12.555404408008044
1,48215020504,48215020501,1.5157169968988828
1,48215020504,48215020503,1.5035295965917481
1,48215020504,48215020726,3.3738953857014065
1,48215020504,48215021000,3.218884027912637
1,48215020504,48215021302,6.198677371832156
1,48215020504,48215021303,7.547397445959611
1,48215020504,48215021305,3.8449635839317886
1,48215020504,48215021404,4.094098999406179
1,48215020504,48215021701,5.399515746581211
1,48215020504,48215021702,6.258078283341992
1,48215020504,48215021805,7.288770439401473
