CensusTract,State,County,POP2010,LALOWI1_20,LILATracts_Vehicle,TractKids,TractSeniors,TractHUNV,TractSNAP
48029181823,Texas,Bexar,2495,1113.11,0,385,107,23,40
48029181901,Texas,Bexar,3452,1849.87,0,373,111,45,44
48029190100,Texas,Bexar,3755,2038.36,1,785,669,307,390
48029190200,Texas,Bexar,4375,1455.37,1,628,787,301,441
48029190503,Texas,Bexar,3459,364.25,1,682,394,123,130
48029190504,Texas,Bexar,2881,534.35,1,619,375,187,151
48029192000,Texas,Bexar,5244,1551.54,1,740,410,553,219
48029192200,Texas,Bexar,1264,355.11,0,339,92,49,124
48029980003,Texas,Bexar,1802,224.08,0,585,6,0,5
48029980100,Texas,Bexar,301,91.7,0,21,2,0,4
48037010400,Texas,Bowie,4237,2694.92,1,1296,566,309,664
48037011000,Texas,Bowie,7535,315.71,0,2030,1014,47,225
48037011502,Texas,Bowie,2910,327.61,0,722,575,86,412
48039660900,Texas,Brazoria,6806,2919.63,0,2039,496,32,361
48039661400,Texas,Brazoria,6760,971.04,0,1824,931,131,289
48039664200,Texas,Brazoria,1916,864.46,0,375,294,13,70
48039664300,Texas,Brazoria,5445,2380.56,1,1839,411,236,702
48041000300,Texas,Brazos,7211,2527.74,0,2414,511,42,407
48041000400,Texas,Brazos,5083,336.5,1,1304,331,253,417
48041000500,Texas,Brazos,5543,503.18,1,1803,420,349,659
48041000603,Texas,Brazos,5263,510.09,0,1714,311,132,427
48041000604,Texas,Brazos,6182,1471.35,1,2294,252,270,601
48041001301,Texas,Brazos,2547,792.96,1,308,77,116,104
48041001302,Texas,Brazos,4028,1695.67,0,438,303,63,127
48041001601,Texas,Brazos,4572,1110.96,1,684,323,226,208
48041001604,Texas,Brazos,5560,2215.16,0,643,277,234,219
48041001605,Texas,Brazos,3367,1554.02,0,483,86,106,143
48041001701,Texas,Brazos,5762,406.77,0,444,47,74,156
48041001803,Texas,Brazos,6280,2206.12,0,1259,396,94,71
48041002012,Texas,Brazos,6466,5989.81,0,89,17,44,27
48041002013,Texas,Brazos,4873,2155.92,0,1029,325,42,105
48041002014,Texas,Brazos,1768,1164.53,0,186,153,13,74
48045950200,Texas,Briscoe,1637,698.63,1,362,358,37,66
48047950200,Texas,Brooks,5181,560.4,1,1461,879,225,849
48049950600,Texas,Brown,2654,936.45,1,781,396,295,401
48049950800,Texas,Brown,2813,234.09,0,762,271,47,196
48049950900,Texas,Brown,4815,1306.85,1,1232,696,112,268
48049951000,Texas,Brown,2497,275.32,0,728,287,57,122
48055960200,Texas,Caldwell,5199,1017.99,1,1224,533,195,192
48055960400,Texas,Caldwell,3606,801.37,1,1013,486,149,382
48055960700,Texas,Caldwell,5660,643.33,1,1549,932,267,412
48057000200,Texas,Calhoun,4375,1489.42,0,1315,503,56,209
48057000400,Texas,Calhoun,6255,2196.38,1,1671,934,151,443
48061010203,Texas,Cameron,7607,2728.31,1,2176,1240,159,531
48061010402,Texas,Cameron,6683,3166.06,0,1896,1259,30,420
48061010601,Texas,Cameron,8795,1646.77,1,2869,890,199,672
48061011400,Texas,Cameron,6337,3497.8,1,1898,807,160,678
48061011500,Texas,Cameron,5728,1712.15,1,1946,563,238,630
48061011700,Texas,Cameron,6837,348.17,1,2501,705,298,806
48061011801,Texas,Cameron,5783,557.09,1,1800,914,137,542
48061011802,Texas,Cameron,3922,2484.69,0,1317,358,79,375
48061011901,Texas,Cameron,6150,428.29,0,1903,1023,177,563
48061011902,Texas,Cameron,4501,2198.83,0,1333,701,47,434
48061012001,Texas,Cameron,5475,1189.21,0,1457,1160,25,204
48061012200,Texas,Cameron,10831,5620.45,0,3981,798,92,1185
48061012504,Texas,Cameron,15629,4195.86,0,5938,830,56,1143
48061012505,Texas,Cameron,9119,6786.93,1,3768,523,145,1063
48061012507,Texas,Cameron,6063,3030.36,1,2092,446,112,556
48061012608,Texas,Cameron,3662,1801.9,0,1154,617,55,319
48061012609,Texas,Cameron,7644,1016.21,1,3027,451,173,952
48061012700,Texas,Cameron,5621,1051.47,0,2172,324,21,475
48061012900,Texas,Cameron,4290,587.81,0,1070,896,104,221
48061013102,Texas,Cameron,3905,1514.13,0,1251,464,80,334
48061013104,Texas,Cameron,3972,475.65,0,1147,548,59,253
48061013203,Texas,Cameron,2236,1533.2,0,760,303,62,224
48061013204,Texas,Cameron,2553,1779.92,1,879,248,129,244
48061013205,Texas,Cameron,3666,1584.15,1,1302,275,116,343
48061013206,Texas,Cameron,3595,2269.43,0,1450,185,19,380
48061013207,Texas,Cameron,4050,1823.89,0,1493,437,46,440
48061013305,Texas,Cameron,5273,1488.88,1,1854,393,142,399
