,CensusTract,State,County,LALOWI1_20,GEOID,INTPTLAT,INTPTLON,LAT,LON
49,48029131100,Texas,Bexar,1301.43631708621,48029131100,+29.4055968,-098.4268221,29.4055968,-98.4268221
50,48029131200,Texas,Bexar,339.158575203269,48029131200,+29.3981151,-098.4172868,29.3981151,-98.4172868
51,48029131401,Texas,Bexar,2343.87046302232,48029131401,+29.3724351,-098.3735041,29.3724351,-98.3735041
52,48029131506,Texas,Bexar,722.072912688832,48029131506,+29.4321582,-098.3767920,29.4321582,-98.376792
53,48029131507,Texas,Bexar,558.028073787689,48029131507,+29.4632989,-098.3708009,29.4632989,-98.3708009
54,48029140100,Texas,Bexar,905.657109251711,48029140100,+29.4064086,-098.4787846,29.4064086,-98.4787846
55,48029140200,Texas,Bexar,1627.85983341559,48029140200,+29.3962129,-098.4810899,29.3962129,-98.4810899
56,48029140300,Texas,Bexar,1721.00822937488,48029140300,+29.3868816,-098.4835460,29.3868816,-98.483546
57,48029140400,Texas,Bexar,1713.42769344872,48029140400,+29.3968163,-098.4673941,29.3968163,-98.4673941
58,48029140500,Texas,Bexar,1801.98182821262,48029140500,+29.3964053,-098.4549963,29.3964053,-98.4549963
59,48029140600,Texas,Bexar,1655.06371120736,48029140600,+29.3927381,-098.4435777,29.3927381,-98.4435777
60,48029140700,Texas,Bexar,408.082271123304,48029140700,+29.3875220,-098.4609819,29.387522,-98.4609819
61,48029141200,Texas,Bexar,584.360609486699,48029141200,+29.3802571,-098.4395548,29.3802571,-98.4395548
62,48029141404,Texas,Bexar,92.753038476454,48029141404,+29.3667835,-098.4257028,29.3667835,-98.4257028
63,48029150800,Texas,Bexar,826.016254544258,48029150800,+29.3638160,-098.4772692,29.363816,-98.4772692
64,48029151302,Texas,Bexar,1267.33418292738,48029151302,+29.3290251,-098.5251025,29.3290251,-98.5251025
65,48029151900,Texas,Bexar,2562.63265338106,48029151900,+29.2925232,-098.4710132,29.2925232,-98.4710132
66,48029160701,Texas,Bexar,1220.83308522403,48029160701,+29.4062476,-098.5739833,29.4062476,-98.5739833
67,48029160702,Texas,Bexar,2937.6753883236,48029160702,+29.3962513,-098.5569566,29.3962513,-98.5569566
68,48029160901,Texas,Bexar,443.906153321266,48029160901,+29.3676060,-098.5460910,29.367606,-98.546091
69,48029160902,Texas,Bexar,2689.31131931208,48029160902,+29.3695546,-098.5570405,29.3695546,-98.5570405
70,48029161000,Texas,Bexar,2241.90272425941,48029161000,+29.3425496,-098.5700238,29.3425496,-98.5700238
71,48029161100,Texas,Bexar,1661.90470230028,48029161100,+29.3269538,-098.5762883,29.3269538,-98.5762883
72,48029161302,Texas,Bexar,1181.13478931039,48029161302,+29.3335210,-098.6121389,29.333521,-98.6121389
73,48029161304,Texas,Bexar,2398.52807767185,48029161304,+29.3453415,-098.5935539,29.3453415,-98.5935539
74,48029161501,Texas,Bexar,4166.9006404074,48029161501,+29.3647921,-098.6074112,29.3647921,-98.6074112
